"('January 2024', 'Unnamed: 0_level_1')","('January 2024', 'Gold Price (24 Karat)')","('January 2024', 'Gold Price (22 Karat)')","('January 2024', 'Gold Price (18 Karat)')","('January 2024', 'Gold Price (14 Karat)')","('January 2024', 'Gold Price (10 Karat)')","('Month', '')",January 2024 Unnamed: 0_level_1,January 2024 Gold Price (24 Karat),January 2024 Gold Price (22 Karat),January 2024 Gold Price (18 Karat),January 2024 Gold Price (14 Karat),January 2024 Gold Price (10 Karat),Month
2 Sep,"₹209,681","₹192,207","₹157,261","₹122,314","₹87,367",Unknown,,,,,,,
3 Sep,"₹209,297","₹191,856","₹156,973","₹122,090","₹87,207",Unknown,,,,,,,
4 Sep,"₹209,440","₹191,986","₹157,080","₹122,173","₹87,267",Unknown,,,,,,,
5 Sep,"₹211,320","₹193,710","₹158,490","₹123,270","₹88,050",Unknown,,,,,,,
6 Sep,"₹209,744","₹192,265","₹157,308","₹122,351","₹87,393",Unknown,,,,,,,
9 Sep,"₹210,435","₹192,899","₹157,826","₹122,754","₹87,681",Unknown,,,,,,,
10 Sep,"₹211,375","₹193,760","₹158,531","₹123,302","₹88,073",Unknown,,,,,,,
11 Sep,"₹211,135","₹193,540","₹158,351","₹123,162","₹87,973",Unknown,,,,,,,
12 Sep,"₹214,765","₹196,868","₹161,074","₹125,280","₹89,485",Unknown,,,,,,,
13 Sep,"₹216,345","₹198,317","₹162,259","₹126,201","₹90,144",Unknown,,,,,,,
16 Sep,"₹216,635","₹198,582","₹162,476","₹126,371","₹90,265",Unknown,,,,,,,
17 Sep,"₹215,340","₹197,395","₹161,505","₹125,615","₹89,725",Unknown,,,,,,,
18 Sep,"₹214,233","₹196,380","₹160,675","₹124,969","₹89,264",Unknown,,,,,,,
19 Sep,"₹216,362","₹198,332","₹162,271","₹126,211","₹90,151",Unknown,,,,,,,
20 Sep,"₹218,931","₹200,687","₹164,199","₹127,710","₹91,221",Unknown,,,,,,,
23 Sep,"₹219,563","₹201,266","₹164,672","₹128,079","₹91,485",Unknown,,,,,,,
24 Sep,"₹222,196","₹203,679","₹166,647","₹129,614","₹92,581",Unknown,,,,,,,
25 Sep,"₹222,344","₹203,816","₹166,758","₹129,701","₹92,644",Unknown,,,,,,,
26 Sep,"₹223,510","₹204,885","₹167,633","₹130,381","₹93,129",Unknown,,,,,,,
27 Sep,"₹222,550","₹204,004","₹166,912","₹129,821","₹92,729",Unknown,,,,,,,
30 Sep,"₹220,812","₹202,411","₹165,609","₹128,807","₹92,005",Unknown,,,,,,,
"Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.","Lowest gold price in India in September 2024: ₹209,297 per ounce. Highest gold price in India in September 2024: ₹223,510 per ounce. Average gold price in India in September 2024: ₹215,524 per ounce.",Unknown,,,,,,,
,,,,,,Unknown,,,,,,,
October 2024,October 2024,October 2024,October 2024,October 2024,October 2024,Unknown,,,,,,,
,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown,,,,,,,
1 Oct,"₹223,399","₹204,783","₹167,550","₹130,316","₹93,083",Unknown,,,,,,,
2 Oct,"₹223,170","₹204,572","₹167,377","₹130,182","₹92,987",Unknown,,,,,,,
3 Oct,"₹223,072","₹204,483","₹167,304","₹130,125","₹92,947",Unknown,,,,,,,
4 Oct,"₹222,972","₹204,391","₹167,229","₹130,067","₹92,905",Unknown,,,,,,,
7 Oct,"₹222,045","₹203,541","₹166,534","₹129,526","₹92,519",Unknown,,,,,,,
8 Oct,"₹220,092","₹201,751","₹165,069","₹128,387","₹91,705",Unknown,,,,,,,
9 Oct,"₹218,863","₹200,625","₹164,147","₹127,670","₹91,193",Unknown,,,,,,,
10 Oct,"₹220,637","₹202,251","₹165,478","₹128,705","₹91,932",Unknown,,,,,,,
11 Oct,"₹223,457","₹204,836","₹167,593","₹130,350","₹93,107",Unknown,,,,,,,
14 Oct,"₹222,701","₹204,142","₹167,026","₹129,909","₹92,792",Unknown,,,,,,,
15 Oct,"₹223,787","₹205,138","₹167,840","₹130,542","₹93,245",Unknown,,,,,,,
16 Oct,"₹224,781","₹206,049","₹168,585","₹131,122","₹93,659",Unknown,,,,,,,
17 Oct,"₹226,369","₹207,505","₹169,777","₹132,049","₹94,320",Unknown,,,,,,,
18 Oct,"₹228,785","₹209,720","₹171,589","₹133,458","₹95,327",Unknown,,,,,,,
21 Oct,"₹228,752","₹209,690","₹171,564","₹133,439","₹95,313",Unknown,,,,,,,
22 Oct,"₹231,088","₹211,831","₹173,316","₹134,802","₹96,287",Unknown,,,,,,,
23 Oct,"₹228,487","₹209,447","₹171,366","₹133,284","₹95,203",Unknown,,,,,,,
24 Oct,"₹230,018","₹210,850","₹172,513","₹134,177","₹95,841",Unknown,,,,,,,
25 Oct,"₹231,095","₹211,837","₹173,321","₹134,805","₹96,289",Unknown,,,,,,,
28 Oct,"₹230,573","₹211,359","₹172,930","₹134,501","₹96,072",Unknown,,,,,,,
29 Oct,"₹233,264","₹213,825","₹174,948","₹136,070","₹97,193",Unknown,,,,,,,
30 Oct,"₹234,365","₹214,834","₹175,774","₹136,713","₹97,652",Unknown,,,,,,,
31 Oct,"₹230,882","₹211,642","₹173,162","₹134,681","₹96,201",Unknown,,,,,,,
"Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.","Lowest gold price in India in October 2024: ₹218,863 per ounce. Highest gold price in India in October 2024: ₹234,365 per ounce. Average gold price in India in October 2024: ₹226,202 per ounce.",Unknown,,,,,,,
,,,,,,Unknown,,,,,,,
November 2024,November 2024,November 2024,November 2024,November 2024,November 2024,Unknown,,,,,,,
,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown,,,,,,,
1 Nov,"₹230,095","₹210,921","₹172,572","₹134,222","₹95,873",Unknown,,,,,,,
4 Nov,"₹230,286","₹211,095","₹172,714","₹134,333","₹95,952",Unknown,,,,,,,
5 Nov,"₹230,809","₹211,575","₹173,107","₹134,639","₹96,171",Unknown,,,,,,,
6 Nov,"₹224,359","₹205,662","₹168,269","₹130,876","₹93,483",Unknown,,,,,,,
7 Nov,"₹228,131","₹209,120","₹171,099","₹133,077","₹95,055",Unknown,,,,,,,
8 Nov,"₹226,571","₹207,690","₹169,928","₹132,166","₹94,405",Unknown,,,,,,,
11 Nov,"₹221,336","₹202,891","₹166,002","₹129,112","₹92,223",Unknown,,,,,,,
12 Nov,"₹219,332","₹201,054","₹164,499","₹127,944","₹91,388",Unknown,,,,,,,
13 Nov,"₹217,929","₹199,768","₹163,446","₹127,125","₹90,804",Unknown,,,,,,,
14 Nov,"₹216,784","₹198,718","₹162,588","₹126,457","₹90,327",Unknown,,,,,,,
15 Nov,"₹216,383","₹198,351","₹162,287","₹126,223","₹90,159",Unknown,,,,,,,
18 Nov,"₹220,499","₹202,124","₹165,374","₹128,624","₹91,874",Unknown,,,,,,,
19 Nov,"₹222,361","₹203,831","₹166,771","₹129,711","₹92,650",Unknown,,,,,,,
20 Nov,"₹223,530","₹204,903","₹167,648","₹130,393","₹93,138",Unknown,,,,,,,
21 Nov,"₹225,557","₹206,760","₹169,167","₹131,575","₹93,982",Unknown,,,,,,,
22 Nov,"₹229,271","₹210,165","₹171,954","₹133,742","₹95,530",Unknown,,,,,,,
25 Nov,"₹221,368","₹202,921","₹166,026","₹129,131","₹92,237",Unknown,,,,,,,
26 Nov,"₹221,928","₹203,434","₹166,446","₹129,458","₹92,470",Unknown,,,,,,,
27 Nov,"₹222,563","₹204,016","₹166,923","₹129,829","₹92,735",Unknown,,,,,,,
28 Nov,"₹222,846","₹204,276","₹167,135","₹129,994","₹92,853",Unknown,,,,,,,
29 Nov,"₹224,072","₹205,399","₹168,054","₹130,709","₹93,363",Unknown,,,,,,,
"Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.","Lowest gold price in India in November 2024: ₹216,383 per ounce. Highest gold price in India in November 2024: ₹230,809 per ounce. Average gold price in India in November 2024: ₹223,620 per ounce.",Unknown,,,,,,,
,,,,,,Unknown,,,,,,,
December 2024,December 2024,December 2024,December 2024,December 2024,December 2024,Unknown,,,,,,,
,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown,,,,,,,
2 Dec,"₹223,865","₹205,210","₹167,899","₹130,588","₹93,277",Unknown,,,,,,,
3 Dec,"₹223,711","₹205,068","₹167,783","₹130,498","₹93,213",Unknown,,,,,,,
4 Dec,"₹224,531","₹205,820","₹168,398","₹130,976","₹93,554",Unknown,,,,,,,
5 Dec,"₹222,982","₹204,400","₹167,236","₹130,073","₹92,909",Unknown,,,,,,,
6 Dec,"₹222,944","₹204,365","₹167,208","₹130,051","₹92,893",Unknown,,,,,,,
9 Dec,"₹225,778","₹206,964","₹169,334","₹131,704","₹94,074",Unknown,,,,,,,
10 Dec,"₹228,756","₹209,693","₹171,567","₹133,441","₹95,315",Unknown,,,,,,,
11 Dec,"₹230,626","₹211,407","₹172,969","₹134,532","₹96,094",Unknown,,,,,,,
12 Dec,"₹227,429","₹208,477","₹170,572","₹132,667","₹94,762",Unknown,,,,,,,
13 Dec,"₹224,681","₹205,958","₹168,511","₹131,064","₹93,617",Unknown,,,,,,,
16 Dec,"₹225,276","₹206,503","₹168,957","₹131,411","₹93,865",Unknown,,,,,,,
17 Dec,"₹224,776","₹206,044","₹168,582","₹131,119","₹93,657",Unknown,,,,,,,
18 Dec,"₹220,637","₹202,250","₹165,477","₹128,705","₹91,932",Unknown,,,,,,,
19 Dec,"₹220,838","₹202,435","₹165,629","₹128,822","₹92,016",Unknown,,,,,,,
20 Dec,"₹222,827","₹204,258","₹167,121","₹129,983","₹92,845",Unknown,,,,,,,
23 Dec,"₹222,610","₹204,059","₹166,957","₹129,856","₹92,754",Unknown,,,,,,,
24 Dec,"₹222,872","₹204,299","₹167,154","₹130,009","₹92,863",Unknown,,,,,,,
25 Dec,"₹223,800","₹205,150","₹167,850","₹130,550","₹93,250",Unknown,,,,,,,
26 Dec,"₹225,657","₹206,852","₹169,242","₹131,633","₹94,024",Unknown,,,,,,,
27 Dec,"₹223,861","₹205,206","₹167,896","₹130,585","₹93,275",Unknown,,,,,,,
30 Dec,"₹223,449","₹204,829","₹167,587","₹130,345","₹93,104",Unknown,,,,,,,
31 Dec,"₹224,626","₹205,907","₹168,469","₹131,032","₹93,594",Unknown,,,,,,,
"Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.","Lowest gold price in India in December 2024: ₹220,637 per ounce. Highest gold price in India in December 2024: ₹230,626 per ounce. Average gold price in India in December 2024: ₹224,388 per ounce.",Unknown,,,,,,,
,,,,,,Unknown,,,,,,,
,,,,,,,1 Jan,"₹171,905","₹157,580","₹128,929","₹100,278","₹71,627",Unknown
,,,,,,,2 Jan,"₹171,465","₹157,176","₹128,599","₹100,021","₹71,444",Unknown
,,,,,,,3 Jan,"₹170,149","₹155,970","₹127,612","₹99,254","₹70,895",Unknown
,,,,,,,4 Jan,"₹170,079","₹155,906","₹127,559","₹99,213","₹70,866",Unknown
,,,,,,,5 Jan,"₹170,171","₹155,990","₹127,628","₹99,266","₹70,905",Unknown
,,,,,,,8 Jan,"₹168,512","₹154,470","₹126,384","₹98,299","₹70,213",Unknown
,,,,,,,9 Jan,"₹168,716","₹154,656","₹126,537","₹98,417","₹70,298",Unknown
,,,,,,,10 Jan,"₹168,148","₹154,136","₹126,111","₹98,086","₹70,062",Unknown
,,,,,,,11 Jan,"₹168,918","₹154,842","₹126,689","₹98,536","₹70,383",Unknown
,,,,,,,12 Jan,"₹169,835","₹155,682","₹127,376","₹99,070","₹70,765",Unknown
,,,,,,,15 Jan,"₹170,175","₹155,994","₹127,632","₹99,269","₹70,906",Unknown
,,,,,,,16 Jan,"₹168,385","₹154,353","₹126,289","₹98,224","₹70,160",Unknown
,,,,,,,17 Jan,"₹167,144","₹153,215","₹125,358","₹97,501","₹69,643",Unknown
,,,,,,,18 Jan,"₹168,180","₹154,165","₹126,135","₹98,105","₹70,075",Unknown
,,,,,,,19 Jan,"₹168,708","₹154,649","₹126,531","₹98,413","₹70,295",Unknown
,,,,,,,22 Jan,"₹167,987","₹153,988","₹125,990","₹97,993","₹69,995",Unknown
,,,,,,,23 Jan,"₹168,805","₹154,738","₹126,604","₹98,470","₹70,335",Unknown
,,,,,,,24 Jan,"₹167,596","₹153,630","₹125,697","₹97,764","₹69,832",Unknown
,,,,,,,25 Jan,"₹168,052","₹154,047","₹126,039","₹98,030","₹70,021",Unknown
,,,,,,,26 Jan,"₹167,779","₹153,797","₹125,834","₹97,871","₹69,908",Unknown
,,,,,,,29 Jan,"₹168,867","₹154,795","₹126,650","₹98,506","₹70,361",Unknown
,,,,,,,30 Jan,"₹169,226","₹155,124","₹126,920","₹98,715","₹70,511",Unknown
,,,,,,,31 Jan,"₹169,602","₹155,469","₹127,202","₹98,935","₹70,668",Unknown
,,,,,,,"Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.","Lowest gold price in India in January 2024: ₹167,144 per ounce. Highest gold price in India in January 2024: ₹171,905 per ounce. Average gold price in India in January 2024: ₹169,061 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,February 2024,February 2024,February 2024,February 2024,February 2024,February 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Feb,"₹170,548","₹156,336","₹127,911","₹99,486","₹71,062",Unknown
,,,,,,,2 Feb,"₹169,272","₹155,166","₹126,954","₹98,742","₹70,530",Unknown
,,,,,,,5 Feb,"₹168,091","₹154,084","₹126,068","₹98,053","₹70,038",Unknown
,,,,,,,6 Feb,"₹169,086","₹154,995","₹126,814","₹98,633","₹70,452",Unknown
,,,,,,,7 Feb,"₹168,983","₹154,901","₹126,737","₹98,573","₹70,410",Unknown
,,,,,,,8 Feb,"₹168,803","₹154,736","₹126,602","₹98,468","₹70,334",Unknown
,,,,,,,9 Feb,"₹168,063","₹154,058","₹126,047","₹98,037","₹70,026",Unknown
,,,,,,,12 Feb,"₹167,576","₹153,612","₹125,682","₹97,753","₹69,823",Unknown
,,,,,,,13 Feb,"₹165,482","₹151,692","₹124,112","₹96,531","₹68,951",Unknown
,,,,,,,14 Feb,"₹165,514","₹151,721","₹124,135","₹96,550","₹68,964",Unknown
,,,,,,,15 Feb,"₹166,362","₹152,498","₹124,771","₹97,044","₹69,317",Unknown
,,,,,,,16 Feb,"₹167,108","₹153,182","₹125,331","₹97,480","₹69,628",Unknown
,,,,,,,19 Feb,"₹167,449","₹153,495","₹125,587","₹97,679","₹69,771",Unknown
,,,,,,,20 Feb,"₹167,774","₹153,793","₹125,830","₹97,868","₹69,906",Unknown
,,,,,,,21 Feb,"₹168,045","₹154,041","₹126,034","₹98,026","₹70,019",Unknown
,,,,,,,22 Feb,"₹167,874","₹153,885","₹125,906","₹97,927","₹69,948",Unknown
,,,,,,,23 Feb,"₹168,713","₹154,654","₹126,535","₹98,416","₹70,297",Unknown
,,,,,,,26 Feb,"₹168,317","₹154,290","₹126,237","₹98,185","₹70,132",Unknown
,,,,,,,27 Feb,"₹168,355","₹154,325","₹126,266","₹98,207","₹70,148",Unknown
,,,,,,,28 Feb,"₹168,743","₹154,681","₹126,557","₹98,433","₹70,309",Unknown
,,,,,,,29 Feb,"₹169,457","₹155,336","₹127,093","₹98,850","₹70,607",Unknown
,,,,,,,"Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.","Lowest gold price in India in February 2024: ₹165,482 per ounce. Highest gold price in India in February 2024: ₹170,548 per ounce. Average gold price in India in February 2024: ₹168,077 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,March 2024,March 2024,March 2024,March 2024,March 2024,March 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Mar,"₹172,532","₹158,154","₹129,399","₹100,644","₹71,888",Unknown
,,,,,,,4 Mar,"₹175,344","₹160,732","₹131,508","₹102,284","₹73,060",Unknown
,,,,,,,5 Mar,"₹176,408","₹161,708","₹132,306","₹102,905","₹73,503",Unknown
,,,,,,,6 Mar,"₹178,013","₹163,178","₹133,509","₹103,841","₹74,172",Unknown
,,,,,,,7 Mar,"₹178,661","₹163,773","₹133,996","₹104,219","₹74,442",Unknown
,,,,,,,8 Mar,"₹180,328","₹165,300","₹135,246","₹105,191","₹75,136",Unknown
,,,,,,,11 Mar,"₹180,733","₹165,671","₹135,549","₹105,427","₹75,305",Unknown
,,,,,,,12 Mar,"₹178,848","₹163,944","₹134,136","₹104,328","₹74,520",Unknown
,,,,,,,13 Mar,"₹180,121","₹165,111","₹135,091","₹105,071","₹75,050",Unknown
,,,,,,,14 Mar,"₹179,379","₹164,431","₹134,534","₹104,638","₹74,741",Unknown
,,,,,,,15 Mar,"₹178,720","₹163,826","₹134,040","₹104,253","₹74,466",Unknown
,,,,,,,18 Mar,"₹179,273","₹164,333","₹134,455","₹104,576","₹74,697",Unknown
,,,,,,,19 Mar,"₹179,238","₹164,302","₹134,429","₹104,556","₹74,683",Unknown
,,,,,,,20 Mar,"₹183,552","₹168,256","₹137,664","₹107,072","₹76,480",Unknown
,,,,,,,21 Mar,"₹181,575","₹166,443","₹136,181","₹105,918","₹75,656",Unknown
,,,,,,,22 Mar,"₹181,033","₹165,947","₹135,775","₹105,603","₹75,430",Unknown
,,,,,,,25 Mar,"₹181,233","₹166,130","₹135,925","₹105,719","₹75,514",Unknown
,,,,,,,26 Mar,"₹181,624","₹166,489","₹136,218","₹105,948","₹75,677",Unknown
,,,,,,,27 Mar,"₹182,850","₹167,612","₹137,137","₹106,662","₹76,187",Unknown
,,,,,,,28 Mar,"₹186,011","₹170,510","₹139,508","₹108,506","₹77,505",Unknown
,,,,,,,29 Mar,"₹185,945","₹170,450","₹139,459","₹108,468","₹77,477",Unknown
,,,,,,,"Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.","Lowest gold price in India in March 2024: ₹172,532 per ounce. Highest gold price in India in March 2024: ₹186,011 per ounce. Average gold price in India in March 2024: ₹180,068 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,April 2024,April 2024,April 2024,April 2024,April 2024,April 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 Apr,"₹188,109","₹172,433","₹141,081","₹109,730","₹78,379",Unknown
,,,,,,,2 Apr,"₹190,759","₹174,863","₹143,069","₹111,276","₹79,483",Unknown
,,,,,,,3 Apr,"₹192,213","₹176,195","₹144,159","₹112,124","₹80,089",Unknown
,,,,,,,4 Apr,"₹191,321","₹175,377","₹143,491","₹111,604","₹79,717",Unknown
,,,,,,,5 Apr,"₹194,075","₹177,902","₹145,556","₹113,211","₹80,865",Unknown
,,,,,,,8 Apr,"₹194,670","₹178,447","₹146,002","₹113,557","₹81,112",Unknown
,,,,,,,9 Apr,"₹195,811","₹179,494","₹146,858","₹114,223","₹81,588",Unknown
,,,,,,,10 Apr,"₹194,744","₹178,515","₹146,058","₹113,600","₹81,143",Unknown
,,,,,,,11 Apr,"₹197,998","₹181,499","₹148,499","₹115,499","₹82,499",Unknown
,,,,,,,12 Apr,"₹196,032","₹179,696","₹147,024","₹114,352","₹81,680",Unknown
,,,,,,,15 Apr,"₹199,340","₹182,729","₹149,505","₹116,282","₹83,059",Unknown
,,,,,,,16 Apr,"₹199,622","₹182,987","₹149,716","₹116,446","₹83,176",Unknown
,,,,,,,17 Apr,"₹197,689","₹181,215","₹148,267","₹115,319","₹82,371",Unknown
,,,,,,,18 Apr,"₹198,887","₹182,313","₹149,165","₹116,018","₹82,870",Unknown
,,,,,,,19 Apr,"₹199,327","₹182,716","₹149,495","₹116,274","₹83,053",Unknown
,,,,,,,22 Apr,"₹194,089","₹177,915","₹145,567","₹113,219","₹80,870",Unknown
,,,,,,,23 Apr,"₹193,431","₹177,312","₹145,073","₹112,835","₹80,596",Unknown
,,,,,,,24 Apr,"₹193,190","₹177,091","₹144,893","₹112,694","₹80,496",Unknown
,,,,,,,25 Apr,"₹194,381","₹178,182","₹145,786","₹113,389","₹80,992",Unknown
,,,,,,,26 Apr,"₹194,989","₹178,739","₹146,241","₹113,743","₹81,245",Unknown
,,,,,,,29 Apr,"₹194,911","₹178,669","₹146,184","₹113,698","₹81,213",Unknown
,,,,,,,30 Apr,"₹191,256","₹175,318","₹143,442","₹111,566","₹79,690",Unknown
,,,,,,,"Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.","Lowest gold price in India in April 2024: ₹188,109 per ounce. Highest gold price in India in April 2024: ₹199,622 per ounce. Average gold price in India in April 2024: ₹194,857 per ounce.",Unknown
,,,,,,,,,,,,,Unknown
,,,,,,,May 2024,May 2024,May 2024,May 2024,May 2024,May 2024,Unknown
,,,,,,,,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat),Unknown
,,,,,,,1 May,"₹193,559","₹177,429","₹145,169","₹112,910","₹80,650",Unknown
,,,,,,,2 May,"₹192,307","₹176,282","₹144,231","₹112,179","₹80,128",Unknown
,,,,,,,3 May,"₹191,988","₹175,989","₹143,991","₹111,993","₹79,995",Unknown
,,,,,,,6 May,"₹194,247","₹178,060","₹145,686","₹113,311","₹80,936",Unknown
,,,,,,,7 May,"₹193,338","₹177,227","₹145,004","₹112,781","₹80,558",Unknown
,,,,,,,8 May,"₹192,847","₹176,776","₹144,635","₹112,494","₹80,353",Unknown
,,,,,,,9 May,"₹195,745","₹179,433","₹146,809","₹114,185","₹81,561",Unknown
,,,,,,,10 May,"₹197,211","₹180,777","₹147,909","₹115,040","₹82,171",Unknown
